code,array
C21,"['抽水站用地', '泊地', '溝渠用地兼供停車場使用', '河川溝渠用地', '排水道用地', '水溝用地兼供道路使用', '滯洪池(公)', '運河(道)', '溝渠用地兼廣場用地', '滯洪池用地', '水道', '水質站', '排(經)', '溝', '水庫', '排水用地', '水道用地', '河道用地', '排(停)', '排水溝用地兼供道路使用', '溝(停)', '運河用地兼供道路使用', '調節池用地', '溝渠用地兼供道路使用', '排水溝用地', '水利(道)', '水溝用地', '水利事業用地', '溝(車)', '排(道)', '溝(兒)', '運河', '溝渠兼兒童遊樂場用地', '滯洪池', '河道用地兼供快速道路使用', '河道', '滯洪池用地兼供道路使用', '河(快)', '水庫用地', '溝渠用地兼供綠地使用', '排水溝兼停車場用地', '溝(道)', '滯洪池用地兼供公園使用', '溫泉水源用地', '水利設施用地', '溝渠用地兼車站用地', '河川水溝用地', '截流站用地', '人工湖用地', '水利設施', '溝渠用地兼供捷運系統使用', '滯洪池(道)', '河(溝)', '溫泉', '溝(公)', '河', '水利', '溝(綠)', '水利用地', '蓄水池', '溝(廣)', '溝渠用地', '灌', '河(道)', '抽壓水站', '灌溉用地', '排水道用地兼供經貿服務設施使用', '溝渠用地兼公園用地', '行水', '溝渠用地兼鐵路用地', '河道用地兼供道路使用', '截流站', '溝(鐵)', '調節池', '抽壓水站用地', '沉砂池', '溝(捷)', '沉砂池用地', '排水道用地兼供道路使用', '蓄水池用地', '水質監測站用地', '水域用地', '排', '河川用地', '行水用地', '運河用地', '水利事業用地兼供道路使用', '人工湖', '抽水站', '水域']"
C22,"['堤(河道)', '堤(捷)', '堤防用地兼供快速公路使用', '堤(道)', '防波堤用地', '堤', '堤(快)', '堤防用地', '堤防用地兼供道路使用', '堤防用地兼河川區及道路使用', '堤防用地兼供捷運系統使用', '海堤用地']"
C23,"['管理服務中心用地', '機(排)', '電路鐵塔用地', '醫療及衛生機構用地', '衛醫', '機', '郵', '軍事機關用地', '電力事業用地', '社活', '機關用地兼供排水使用', '軍事用地', '水廠', '漁會', '機關兼停車場用地', '機關兼道路用地', '自來水廠用地', '電設', '旅', '警局', '電台用地', '社福', '派出所用地', '電力設施用地', '社區活動中心用地', '醫院', '機關兼社教用地', '機(社)', '自來水設施用地', '老活', '電台', '機關用地兼供古蹟保存使用', '公共服務設施用地', '警', '燈塔', '社教機關用地', '旅遊服務用地', '警政機關用地', '社醫', '公共建築用地', '電力用地', '公教會館', '電信用地', '管理站用地', '社會福利及醫療衛生機構用地', '郵電用地', '電信郵政事業用地', '電塔', '郵政事業用地', '郵政用地', '電信事業用地', '郵電', '老人文康活動中心用地', '派', '旅遊服務中心用地', '自來水用地', '機(古)', '管', '機(旅服)', '燈塔用地', '警察局用地', '機(停)', '農會用地', '醫衛', '電力', '消', '公共服務', '機(道)', '衛生醫療機構用地', '社會福利機關用地', '服', '電郵', '機關用地', '醫院用地', '漁會用地', '機關用地兼供旅遊服務中心使用', '農會', '軍', '管服', '醫', '電信', '自(道)', '公教會館用地', '自來水事業用地', '自', '自來水事業用地兼供道路使用', '公共建築', '社會福利設施用地', '消防用地', '服務中心用地', '社教', '醫療用地']"
C24,"['文化中心', '藝', '文化中心用地', '文教用地', '文教', '藝文展演用地']"
C25,"['鳥', '社教機構用地', '博', '鳥獸園用地', '圖', '社教機構用地兼供學校使用', '圖書館用地', '陳', '蠶', '蠶業改良場用地', '陳列館用地', '博物館用地', '社教', '社教用地', '社(文)']"
C26,"['特','國民中學用地','九年制國校用地','私立學校','國民小學用地', '高級中學用地', '中小學用地', '文高職', '國小用地', '國中用地', '特殊學校用地', '文大', '高職用地', '文中', '大專用地兼供體育場使用', '大專用地', '教', '學校郵政', '育幼院用地', '國中用地（完全中學）', '文中小', '學校用地', '文大(體)', '其他教育用地', '幼', '幼稚園用地', '文職', '大學用地', '高中用地', '文', '文高', '高中職用地', '學校及郵政用地', '文小', '文中(完)']"
C27,"['國家公園區宗教用地', '寺', '宗', '宗教用地', '寺廟用地']"
C28,"['倉庫用地', '倉庫用地', '倉']"
C29,"['動物園', '鐵路景觀用地', '鐵景', '動物園用地', '高山植物園用地', '眺', '青營', '休息站用地', '遊服', '遊憩服務用地', '遊憩用地', '海水浴場用地', '遊憩', '眺望台用地', '青年活動營地', '海浴', '青年活動中心用地', '活動中心用地', '大眾浴池用地', '青活中心', '眾浴', '國家公園區野外育樂用地', '植物園', '活動', '育', '休']"
C30,"['擋土牆護坡', '擋土牆護坡用地', '護坡用地', '護坡', '道路護坡', '道路護坡用地']"
C31,"['住宅用地', '住宅用地', '住用']"
C32,"['林', '林(道)', '原野自然用地', '林業兼道路用地', '林業用地']"
C33,"['海浴', '海濱浴場用地', '海水浴場用地']"
C99,"['業務設施用地', '業設', '其他公共設施用地']"
